,actual,prediction,evaluation
0,False,False,TN
1,False,False,TN
2,False,False,TN
3,False,False,TN
4,False,False,TN
5,False,False,TN
6,False,False,TN
7,False,False,TN
8,False,False,TN
9,False,False,TN
10,False,False,TN
11,False,False,TN
12,False,False,TN
13,False,False,TN
14,False,False,TN
15,False,False,TN
16,False,False,TN
17,False,False,TN
18,False,False,TN
19,False,False,TN
20,False,False,TN
21,False,False,TN
22,False,False,TN
23,True,True,TP
24,True,False,FN
25,False,False,TN
26,False,False,TN
27,False,False,TN
28,False,False,TN
29,False,False,TN
30,False,False,TN
31,False,False,TN
32,False,False,TN
33,False,False,TN
34,False,False,TN
35,False,False,TN
36,False,False,TN
37,False,False,TN
38,False,False,TN
39,False,False,TN
40,False,False,TN
41,False,False,TN
42,False,False,TN
43,False,False,TN
44,False,False,TN
45,False,False,TN
46,False,False,TN
47,False,False,TN
48,False,False,TN
49,False,False,TN
50,False,False,TN
51,False,False,TN
52,False,False,TN
53,False,False,TN
54,False,False,TN
55,False,False,TN
56,False,False,TN
57,False,False,TN
58,False,False,TN
59,False,False,TN
60,False,False,TN
61,False,False,TN
62,False,False,TN
63,False,False,TN
64,False,False,TN
65,False,False,TN
66,False,False,TN
67,False,False,TN
68,False,False,TN
69,False,False,TN
70,False,False,TN
71,False,False,TN
72,False,False,TN
73,False,False,TN
74,False,False,TN
75,False,False,TN
76,False,False,TN
77,False,False,TN
78,False,False,TN
79,False,False,TN
80,False,False,TN
81,False,False,TN
82,False,False,TN
83,False,False,TN
84,False,False,TN
85,False,False,TN
86,False,False,TN
87,False,False,TN
88,False,False,TN
89,False,False,TN
90,False,False,TN
91,False,False,TN
92,False,False,TN
93,False,False,TN
94,False,False,TN
95,False,False,TN
96,False,False,TN
97,False,False,TN
98,False,False,TN
99,False,False,TN
100,False,False,TN
101,False,False,TN
102,False,False,TN
103,False,False,TN
104,False,False,TN
105,False,False,TN
106,False,False,TN
107,False,False,TN
108,False,False,TN
109,False,False,TN
110,False,False,TN
111,False,False,TN
112,False,False,TN
113,False,False,TN
114,False,False,TN
115,False,False,TN
116,False,False,TN
117,False,False,TN
118,False,False,TN
119,False,False,TN
120,False,False,TN
121,False,False,TN
122,False,False,TN
123,False,False,TN
124,False,False,TN
125,False,False,TN
126,False,False,TN
127,False,False,TN
128,False,False,TN
129,False,False,TN
130,False,False,TN
131,False,False,TN
132,False,False,TN
133,False,False,TN
134,False,False,TN
135,False,False,TN
136,False,False,TN
137,False,False,TN
138,False,False,TN
139,False,False,TN
140,False,False,TN
141,False,False,TN
142,False,False,TN
143,False,False,TN
144,True,False,FN
145,False,False,TN
146,False,False,TN
147,False,False,TN
148,False,False,TN
149,False,False,TN
150,False,False,TN
151,False,False,TN
152,False,False,TN
153,False,False,TN
154,False,False,TN
155,False,False,TN
156,False,False,TN
157,False,False,TN
158,False,False,TN
159,False,False,TN
160,False,False,TN
161,False,False,TN
162,False,False,TN
163,False,False,TN
164,False,False,TN
