rule_lhs	rule_rhs	lhs	rhs	judgment	confidence
grow up with	forget about	the kids grow up with him	the kids forget about him	No	1
spend 4 day in	attend the university of	My wife spend 4 day in hospital	My wife attend the university of hospital	No	1
be the younger brother of	be a nephew of	Dulles be the younger brother of John Foster Dulles	Dulles be a nephew of John Foster Dulles	No	1
be raised in	live with	Complaints be raised in the past	Complaints live with the past	No	1
benefit from	learn from	companies benefit from the partnership	companies learn from the partnership	No	1
see the effect on	write content for	Tudor see the effect on Joan	Tudor write content for Joan	No	1
refer	assure	the Committee refer such action	the Committee assure such action	No	1
publish more than	purchase about	author publish more than 20 books	author purchase about 20 books	No	1
be more common for	be natural for	This side effect be more common for women	This side effect be natural for women	No	1
resubmit	amend	Bush resubmit the nomination	Bush amend the nomination	No	1
be unique for	be fascinating for	The number be unique for five years	The number be fascinating for five years	No	1
be sure of	question	the doctors be sure of the cause	the doctors question the cause	No	1
need to build	look like	Students need to build their credit history	Students look like their credit history	No	1
sell	collect	investors sell their holdings	investors collect their holdings	No	1
guess	agree	no one guess the ending	no one agree the ending	No	1
stop	kill	police stop a driver	police kill a driver	No	1
explain to	smile at	a doctor explain to him	a doctor smile at him	No	1
recommend	be pleased with	the doctor recommend a biopsy	the doctor be pleased with a biopsy	No	1
sell in	be manufactured in	Nintendo sell in Japan	Nintendo be manufactured in Japan	No	1
be the guy with	try to pick up	Carlos be the guy with the plan	Carlos try to pick up the plan	No	1
jump in	climb out of	his friend jump in the hole	his friend climb out of the hole	No	1
be an evening of	be a year of	The Gala be an evening of celebration	The Gala be a year of celebration	No	1
attend	be enrolled at	companies attend our events	companies be enrolled at our events	No	1
be the main part of	be the hardest part of	those witnesses be the main part of the case	those witnesses be the hardest part of the case	No	1
need to believe in	choose to believe in	Jews need to believe in God	Jews choose to believe in God	No	1
refute	be correct in	Many scholars refute this argument	Many scholars be correct in this argument	No	1
arrive at	land at	Two helicopters arrive at the scene	Two helicopters land at the scene	No	1
sleep in	retreat to	men sleep in security	men retreat to security	No	1
marry for	participate for	Lewis marry for the first time	Lewis participate for the first time	No	1
recommend take	love to take	Doctors recommend take Frova	Doctors love to take Frova	No	1
have no name for	try to describe	the local Indians have no name for the mountain	the local Indians try to describe the mountain	No	1
find one of	have two of	Her hand find one of my breasts	Her hand have two of my breasts	No	1
be expensive for	be good value for	credit card payments be expensive for small businesses	credit card payments be good value for small businesses	No	1
try to locate	locate	The owner try to locate the dog	The owner locate the dog	No	1
want to drive	think of buy	everybody want to drive a Porsche	everybody think of buy a Porsche	No	1
be fair to	be a good idea for	an agreement be fair to all parties	an agreement be a good idea for all parties	No	1
want to see	spot	Nobody want to see that screen	Nobody spot that screen	No	1
disclose	solicit	the results disclose that information	the results solicit that information	No	1
flip	slam	jimi hendrix flip the guitar	jimi hendrix slam the guitar	No	1
remind	rob	Mitchell remind him	Mitchell rob him	No	1
want to commit	be arrested for	The lady want to commit suicide	The lady be arrested for suicide	No	1
be proud of	forget	All of you be proud of yourselves	All of you forget yourselves	No	1
be available to	be for	Milk be available to children	Milk be for children	No	1
be proud of	be worried about	All of you be proud of yourselves	All of you be worried about yourselves	No	1
feed	be installed above	the artery feed the fibroid	the artery be installed above the fibroid	No	1
enter	be placed in	Monkey enter the cave	Monkey be placed in the cave	No	1
answer	know the answer to	None of them answer the case	None of them know the answer to the case	No	1
close	lower	Jaime close his eyes	Jaime lower his eyes	No	1
give to	appear to	Moses give to the people of Israel	Moses appear to the people of Israel	No	1
be prepared for	prepare student for	The results be prepared for publication	The results prepare student for publication	No	1
be worried about	be impressed by	parents be worried about their sons or daughters	parents be impressed by their sons or daughters	No	1
cut	rip	The surgeons cut my leg	The surgeons rip my leg	No	1
be expressed in	be displayed in	your answer be expressed in two parts	your answer be displayed in two parts	No	1
love for	do the same for	Tom love for taylor	Tom do the same for taylor	No	1
take out	pay off	the husband take out a box	the husband pay off a box	No	1
be inside	slip into	users be inside the library	users slip into the library	No	1
get to know	get along with	Students get to know their communities	Students get along with their communities	No	1
say from behind	yell at	A male voice say from behind him	A male voice yell at him	No	1
be risky for	be the best choice for	secured loans be risky for lenders	secured loans be the best choice for lenders	No	1
be dedicated to	be named after	This site be dedicated to the SELLERS	This site be named after the SELLERS	No	1
perceive	embed	The disciples perceive his glory	The disciples embed his glory	No	1
