rule_lhs	rule_rhs	lhs	rhs	judgment	confidence
be open from	open at	The museum be open from March	The museum open at March	Yes	1
solve	solve all of	PERCOCET solve all your problems	PERCOCET solve all of all your problems	Yes	1
identify	reveal	your computer identify your browser	your computer reveal your browser	Yes	1
have a great influence on	have a powerful influence on	Parents have a great influence on the career development of their children	Parents have a powerful influence on the career development of their children	Yes	1
be encouraged to submit	be encouraged to send in	Fans be encouraged to submit photos of themselves	Fans be encouraged to send in photos of themselves	Yes	1
be unable to pay	owe	a debtor be unable to pay his creditors	a debtor owe his creditors	Yes	1
figure out	solve	No one figure out the cause	No one solve the cause	Yes	1
be happy to help	assist	The owner be happy to help drivers	The owner assist drivers	Yes	1
be given	obtain	Hamas be given a choice	Hamas obtain a choice	Yes	1
employ more than	provide employment for	Our company employ more than 400 workers	Our company provide employment for 400 workers	Yes	1
be sure of	be sure about	the doctors be sure of the cause	the doctors be sure about the cause	Yes	1
have a large number of	have a lot of	This department have a large number of students	This department have a lot of students	Yes	1
replenish	rebuild	Orange juice replenish Vitamin C and potassium	Orange juice rebuild Vitamin C and potassium	Yes	1
notice some of	see some of	The crew notice some of the damage	The crew see some of the damage	Yes	1
be divided into	be broken down into	The thesis be divided into three parts	The thesis be broken down into three parts	Yes	1
make the most of	take advantage of	students make the most of their university experience	students take advantage of their university experience	Yes	1
alleviate	help ease	These exercises alleviate pain	These exercises help ease pain	Yes	1
be used for	be intended to be used for	detox diet be used for weight loss	detox diet be intended to be used for weight loss	Yes	1
be provided	be supplied	This software be provided as-is	This software be supplied as-is	Yes	1
sit on	go on	the base sit on the ground	the base go on the ground	Yes	1
be called	be dubbed	God be called Yahweh	God be dubbed Yahweh	Yes	1
depend on	be focused on	Our business depend on your satisfaction	Our business be focused on your satisfaction	Yes	1
stop off at	try to go to	Better stop off at the library	Better try to go to the library	Yes	1
agree with	tend to agree with	not one agree with him	not one tend to agree with him	Yes	1
hurt	harm	Neutering hurt my pet	Neutering harm my pet	Yes	1
remain	remain about	width remain the same	width remain about the same	Yes	1
be all about	be about	this post be all about the differences	this post be about the differences	Yes	1
guarantee	provide	The section guarantee equality	The section provide equality	Yes	1
win	end up win	their cards win the pot	their cards end up win the pot	Yes	1
need to protect	need to defend	the publics need to protect itself	the publics need to defend itself	Yes	1
serve as	assume the position of	Eric serve as an instructor	Eric assume the position of an instructor	Yes	1
view	check	Some insurance companies view biofeedback	Some insurance companies check biofeedback	Yes	1
recommend take	recommend have	Doctors recommend take Frova	Doctors recommend have Frova	Yes	1
be big business in	be huge in	Agriculture be big business in the United States	Agriculture be huge in the United States	Yes	1
be aimed for	be designed to help	This software be aimed for authors	This software be designed to help authors	Yes	1
send e-mail to	email to	Only registered users send e-mail to other users	Only registered users email to other users	Yes	1
need to upgrade	need to change	Bose need to upgrade this product	Bose need to change this product	Yes	1
end up marry	wed	Dad end up marry Mom	Dad wed Mom	Yes	1
be done with	be handled with	Bonding be done with composite fillings	Bonding be handled with composite fillings	Yes	1
be all about	be about	Weight management be all about energy balance	Weight management be about energy balance	Yes	1
be new to	be new to@R@	Students be new to the school	the school be new to Students	Yes	1
fail to make	havent made	Employers fail to make a good faith effort	Employers havent made a good faith effort	Yes	1
originate from	be imported from	These pictures originate from different sources	These pictures be imported from different sources	Yes	1
play a leading role in	play a critical role in	UNESCO play a leading role in adult education	UNESCO play a critical role in adult education	Yes	1
lash	sweep through	Hurricane Rita lash western Louisiana and eastern Texas	Hurricane Rita sweep through western Louisiana and eastern Texas	Yes	1
be available for	exist for	Overnight camping be available for a fee	Overnight camping exist for a fee	Yes	1
look to expand	want to grow	The band look to expand its ranks	The band want to grow its ranks	Yes	1
be a substitute for	be construed as	this web site be a substitute for medical advice	this web site be construed as medical advice	Yes	1
want to reconsider	reexamine	Council want to reconsider this initiative	Council reexamine this initiative	Yes	1
crave in	want more in	many people crave in their church	many people want more in their church	Yes	1
end up lose	miss out on	The Vikings end up lose this game	The Vikings miss out on this game	Yes	1
sit in	go in	everybody sit in the park	everybody go in the park	Yes	1
increase the cost of	affect the cost of	Regulations increase the cost of building	Regulations affect the cost of building	Yes	1
provide something for	offer something for	the menu provide something for all tastes	the menu offer something for all tastes	Yes	1
get out of	be out of	the soldier get out of his car	the soldier be out of his car	Yes	1
be composed of	consist of	the Chinese language be composed of characters	the Chinese language consist of characters	Yes	1
come for	keep come for	the birds come for four days	the birds keep come for four days	Yes	1
be aligned with	ally with	their interests be aligned with yours	their interests ally with yours	Yes	1
need to build	need to create	Students need to build their credit history	Students need to create their credit history	Yes	1
provide further information on	provide detail about	him provide further information on Muhammad 's life	him provide detail about Muhammad 's life	Yes	1
pray to	worship	these people pray to our God	these people worship our God	Yes	1
come look for	search for	this guy come look for an argument	this guy search for an argument	Yes	1
be held accountable for	be judged by	humans be held accountable for their actions	humans be judged by their actions	Yes	1
be designated as	be named as	Secondhand smoke be designated as a known human carcinogen	Secondhand smoke be named as a known human carcinogen	Yes	1
prevent	reduce the risk of	Cephalexin prevent the bacteria	Cephalexin reduce the risk of the bacteria	Yes	1
warn	caution	the chief warn him	the chief caution him	Yes	1
come in	be given in	the beer come in a bottle	the beer be given in a bottle	Yes	1
come from	be derived from	the colors come from the sunlight	the colors be derived from the sunlight	Yes	1
hear about	learn about	Wanna hear about my day	Wanna learn about my day	Yes	1
finish	finish up	your partner finish treatment	your partner finish up treatment	Yes	1
appear on	appear in	my credit appear on my account	my credit appear in my account	Yes	1
be an abbreviation of	mean	CERT be an abbreviation of Computer Emergency Response Team	CERT mean Computer Emergency Response Team	Yes	1
build	produce	A child build a new world	A child produce a new world	Yes	1
post on	post at	Interview post on November 17 , 2007	Interview post at November 17 , 2007	Yes	1
love to hear from	enjoy hear from	Marie love to hear from readers	Marie enjoy hear from readers	Yes	1
prove to be	be something of	the programme prove to be a great success	the programme be something of a great success	Yes	1
be gonna go to	have the opportunity to go to	Best Actor be gonna go to Mickey Rourke	Best Actor have the opportunity to go to Mickey Rourke	Yes	1
die for	lay down his life for	the Lord Jesus Christ die for the sins of the world	the Lord Jesus Christ lay down his life for the sins of the world	Yes	1
be puzzled by	perplex@R@	Autistic children be puzzled by faces	faces perplex Autistic children	Yes	1
be open for	serve up	The lounge be open for lunch and dinner	The lounge serve up lunch and dinner	Yes	1
be divided up into	be subdivided into	The remainder of this document be divided up into sections	The remainder of this document be subdivided into sections	Yes	1
end in	reach	This process end in Oregon	This process reach Oregon	Yes	1
be covered by	be under	vehicles be covered by auto insurance	vehicles be under auto insurance	Yes	1
step out in	walk out in	Katie Holmes step out in Manhattan	Katie Holmes walk out in Manhattan	Yes	1
start on	get underway on	benefits start on the first of the month	benefits get underway on the first of the month	Yes	1
conduct	engage in	the Corporation conduct any activities	the Corporation engage in any activities	Yes	1
defend	stand up for	Iran defend itself	Iran stand up for itself	Yes	1
come into	start to come into	Jesus come into Cana of Galilee	Jesus start to come into Cana of Galilee	Yes	1
be grateful for	be greatful for	Kim be grateful for the info	Kim be greatful for the info	Yes	1
be contrary to	be contradictory to	him be contrary to his nature	him be contradictory to his nature	Yes	1
go out to	go over to	this traffic go out to the internet	this traffic go over to the internet	Yes	1
be better for	be healthier for	food be better for their body	food be healthier for their body	Yes	1
disappear with	take off with	just disappear with the wind	just take off with the wind	Yes	1
take the picture of	take picture of	The camera take the picture of the joint	The camera take picture of the joint	Yes	1
be prevent	protect from	The medicine be prevent withdrawal symptoms	The medicine protect from withdrawal symptoms	Yes	1
plan for	plan	Honda plan for U.S. sale	Honda plan U.S. sale	Yes	1
be fine for	be a good thing for	the weather be fine for the BBQ	the weather be a good thing for the BBQ	Yes	1
gain	appear to gain	prosecutors gain a murder indictment	prosecutors appear to gain a murder indictment	Yes	1
modify	update	cannot modify header information	cannot update header information	Yes	1
turn off	cut off	Your parent turn off comments	Your parent cut off comments	Yes	1
travel along	travel down	electrical impulse travel along the wire	electrical impulse travel down the wire	Yes	1
contain embedded	be embedded within@R@	COMMENT contain embedded spaces	spaces be embedded within COMMENT	Yes	1
have a wide range of	offer a wide selection of	The city have a wide range of clubs	The city offer a wide selection of clubs	Yes	1
announce	announce on	officials announce Thursday	officials announce on Thursday	Yes	1
open	begin	Registration open this month	Registration begin this month	Yes	1
speak about	talk about	Barack Obama speak about his economic stimulus package	Barack Obama talk about his economic stimulus package	Yes	1
be available on	be added to	The video be available on YouTube	The video be added to YouTube	Yes	1
lie on	be situated along	The house lie on the hillside	The house be situated along the hillside	Yes	1
be aimed for	be marketed to	This software be aimed for authors	This software be marketed to authors	Yes	1
take an interest in	want to learn more about	The locals take an interest in the game	The locals want to learn more about the game	Yes	1
marry	wed	Noe Schitt marry Ted Sherlock	Noe Schitt wed Ted Sherlock	Yes	1
prevent	protect against	foods prevent cancer	foods protect against cancer	Yes	1
want to participate in	want to be part of	business want to participate in the network	business want to be part of the network	Yes	1
be incorporated in	be included in	This page be incorporated in our news page	This page be included in our news page	Yes	1
be involved in	engage in	Only a minority be involved in violence	Only a minority engage in violence	Yes	1
hit theater on	debut	the movie hit theater on June 29	the movie debut June 29	Yes	1
participate in	engage in	The FDA participate in meetings	The FDA engage in meetings	Yes	1
be required for	be required to	insurance be required for all leased equipment	insurance be required to all leased equipment	Yes	1
undermine	weaken	Pervez Musharraf undermine the Constitution	Pervez Musharraf weaken the Constitution	Yes	1
be good for	be suitable for	the rivalry be good for the state	the rivalry be suitable for the state	Yes	1
decide to support	get behind	voters decide to support the Democratic Party	voters get behind the Democratic Party	Yes	1
transfer to	move to	the guest transfer to hotel	the guest move to hotel	Yes	1
regulate	be regulated under@R@	The EPA regulate tap water	tap water be regulated under The EPA	Yes	1
be the keeper of	be keeper of	Women be the keeper of seeds	Women be keeper of seeds	Yes	1
assist student in	assist in	classes assist student in pronunciation	classes assist in pronunciation	Yes	1
solve	settle	Apple solve that issue	Apple settle that issue	Yes	1
remain in	continue to be in	Canada remain in NATO	Canada continue to be in NATO	Yes	1
be important to	affect	proper nutrition be important to fitness	proper nutrition affect fitness	Yes	1
cover	be cover	her hair cover her face	her hair be cover her face	Yes	1
agree with	go along with	the general public agree with the decision	the general public go along with the decision	Yes	1
be done on	be performed with	every thing be done on the computer	every thing be performed with the computer	Yes	1
submit via	be submitted in	Information submit via forms	Information be submitted in forms	Yes	1
present	introduce	the opportunity present itself	the opportunity introduce itself	Yes	1
please visit	be posted on	more information please visit these links	more information be posted on these links	Yes	1
fix	correct	the court fix the terms	the court correct the terms	Yes	1
meet on	be conducted on	the board meet on April 20	the board be conducted on April 20	Yes	1
matter to	do matter to	our priorities matter to our community	our priorities do matter to our community	Yes	1
restart	reset	Johnny restart the job	Johnny reset the job	Yes	1
love to play	love play	Many people love to play basketball	Many people love play basketball	Yes	1
be felt in	extend up	The pain be felt in the chest	The pain extend up the chest	Yes	1
look fine on	look good on	Your carpet look fine on the surface	Your carpet look good on the surface	Yes	1
prevent	reduce the incidence of	Cephalexin prevent the bacteria	Cephalexin reduce the incidence of the bacteria	Yes	1
be placed in	be inserted in	the brackets be placed in the assembly	the brackets be inserted in the assembly	Yes	1
be a person with	be an individual with	The employee be a person with disabilities	The employee be an individual with disabilities	Yes	1
be required to select	be asked to specify	The sponsor be required to select investigators	The sponsor be asked to specify investigators	Yes	1
want to be in	want to join	Ive want to be in the music business	Ive want to join the music business	Yes	1
agree to comply with	accept the term of	ACC agree to comply with the legislation	ACC accept the term of the legislation	Yes	1
speed	speed up	A fan speed air circulation	A fan speed up air circulation	Yes	1
have a love for	be fond of	My father have a love for education	My father be fond of education	Yes	1
leave out	skip	This one leave out the little guy	This one skip the little guy	Yes	1
have location in	have operation in	some of the national companies have location in your area	some of the national companies have operation in your area	Yes	1
be arrested in	be captured in	Four people be arrested in connection	Four people be captured in connection	Yes	1
elaborate on	discuss some of	The International Committee of the Red Cross elaborate on the Geneva Conventions	The International Committee of the Red Cross discuss some of the Geneva Conventions	Yes	1
be needed for	be essential to	Minerals be needed for growth	Minerals be essential to growth	Yes	1
be required for	be required with	insurance be required for all leased equipment	insurance be required with all leased equipment	Yes	1
get to do something about	do something about	the federal government get to do something about illegal immigration	the federal government do something about illegal immigration	Yes	1
provide user with	be offered as	This database provide user with easy access	This database be offered as easy access	Yes	1
hit theater on	be released in	the movie hit theater on June 29	the movie be released in June 29	Yes	1
depart at	go at	The vehicle depart at a high rate of speed	The vehicle go at a high rate of speed	Yes	1
decide to support	decide to vote for	voters decide to support the Democratic Party	voters decide to vote for the Democratic Party	Yes	1
win	go on to win	The Saints win a home game	The Saints go on to win a home game	Yes	1
pay for	cover	employers pay for unemployment taxes	employers cover unemployment taxes	Yes	1
have a few of	get some of	Ive have a few of her books	Ive get some of her books	Yes	1
volunteer for	be a volunteer for	Individuals volunteer for active duty	Individuals be a volunteer for active duty	Yes	1
offer a master of	offer program in	The Department of Biology offer a master of science degree	The Department of Biology offer program in science degree	Yes	1
remain in	continue in	The children 's mother remain in jail	The children 's mother continue in jail	Yes	1
have the feeling of	get a feeling of	youll have the feeling of satisfaction	youll get a feeling of satisfaction	Yes	1
involve the use of	be carried out with	Hypnotherapy involve the use of psychotherapy	Hypnotherapy be carried out with psychotherapy	Yes	1
go on	be expected to go on	the band go on tour	the band be expected to go on tour	Yes	1
need a change in	need change in	This country need a change in direction	This country need change in direction	Yes	1
give in to	indulge	students give in to their demand	students indulge their demand	Yes	1
be descendant of	be a descendent of	children be descendant of their natural parents	children be a descendent of their natural parents	Yes	1
recommend for	be recommended for	This apartment recommend for 5 adults	This apartment be recommended for 5 adults	Yes	1
be propagated to	propagate to	the changes be propagated to the primary database	the changes propagate to the primary database	Yes	1
be sold to	take over@R@	your account be sold to a third party	a third party take over your account	Yes	1
determine	establish	A positive outlook determine a positive outcome	A positive outlook establish a positive outcome	Yes	1
be the beginning of	bring	The fear of the LORD be the beginning of knowledge	The fear of the LORD bring knowledge	Yes	1
let out	let loose with	Leah let out a sigh	Leah let loose with a sigh	Yes	1
be free from	be devoid of	Men be free from disease	Men be devoid of disease	Yes	1
be felt in	be noticeable in	The pain be felt in the chest	The pain be noticeable in the chest	Yes	1
seem clear to	become apparent to	the truth seem clear to ourselves	the truth become apparent to ourselves	Yes	1
talk with	speak with	many people talk with the practitioners	many people speak with the practitioners	Yes	1
be more fond of	tend to enjoy	The Mongols be more fond of paper money	The Mongols tend to enjoy paper money	Yes	1
have location in	open a branch in	some of the national companies have location in your area	some of the national companies open a branch in your area	Yes	1
mess with	mess around with	No one mess with the Executioner	No one mess around with the Executioner	Yes	1
generate	happen	different methods generate different results	different methods happen different results	Yes	1
