,text_x,text_predicate,text_y,hypothesis_x,hypothesis_predicate,hypothesis_y,entailment
40,Students,be new to,the school,NaN,be new to@R@,NaN,True
78,Autistic children,be puzzled by,faces,NaN,perplex@R@,NaN,True
101,COMMENT,contain embedded,spaces,NaN,be embedded within@R@,NaN,True
122,The EPA,regulate,tap water,NaN,be regulated under@R@,NaN,True
174,your account,be sold to,a third party,NaN,take over@R@,NaN,True
195,The House,vote on,the report,NaN,be introduced in@R@,NaN,True
245,The Supreme Court,permit,the defendant,NaN,be allowed in@R@,NaN,True
362,David,worship,Allah,NaN,be worshipped by@R@,NaN,True
392,our education,be all affected by,the quality and availability of transportation,NaN,continue to affect@R@,NaN,True
498,Cheney,order,the leak,NaN,be ordered by@R@,NaN,True
628,Gothic 3,be comparable to,Oblivion,NaN,be comparable to@R@,NaN,True
711,Cum,shoot all over,his chest,NaN,be slick with@R@,NaN,True
722,The artist,be the creator of,beautiful things,NaN,be the creation of@R@,NaN,True
774,harmful greenhouse gas emissions,blame for,global warming,NaN,be linked to@R@,NaN,True
785,her hair,cover,her face,NaN,be covered by@R@,NaN,True
798,A 2.0,be equivalent to,a C average,NaN,be equivalent to@R@,NaN,True
815,The republic,be hijacked by,Forces,NaN,try to take over@R@,NaN,True
822,your life,be safe with,God,NaN,be dedicated to protect@R@,NaN,True
825,Many people,be attracted to,Florida,NaN,attract@R@,NaN,True
844,Torture,be the polar opposite of,freedom,NaN,be the opposite of@R@,NaN,True
863,the Trial Court,dismiss,his cause of action,NaN,be brought before@R@,NaN,True
877,San Angelo,be home to,Angelo State University,NaN,make their home in@R@,NaN,True
953,NEC,govern,equipment,NaN,be regulated by@R@,NaN,True
1000,Microsoft,own,the desktop,NaN,be owned by@R@,NaN,True
1008,These clips,be all included in,the video,NaN,inclusive of@R@,NaN,True
1057,Georgia,take control of,the SEC East,NaN,be taken over by@R@,NaN,True
1060,fee,charge to,a borrower,NaN,incur@R@,NaN,True
1079,Christians,be persecuted in,this country,NaN,persecute@R@,NaN,True
1084,San Angelo,be home to,Angelo State University,NaN,locate in@R@,NaN,True
1098,donations,qualify for,tax deductions,NaN,be available to@R@,NaN,True
1134,Congress,pass,the Illegal Immigration Reform and Immigrant Responsibility Act,NaN,be passed by@R@,NaN,True
1146,The book,contain,checklists,NaN,be present in@R@,NaN,True
1206,Obama,sign,a stimulus package,NaN,be signed by@R@,NaN,True
1316,a certificate,be awarded to,the winner,NaN,be awarded with@R@,NaN,True
1332,Our business,depend on,your satisfaction,NaN,be best for@R@,NaN,True
1337,student,be new to,computers,NaN,be new to@R@,NaN,True
1399,the islands,be the cause of,many shipwrecks,NaN,be due to@R@,NaN,True
1416,the parties,abandon,the transaction,NaN,be abandoned by@R@,NaN,True
1419,Readers,appreciate,Holly,NaN,mean a lot to@R@,NaN,True
1451,Customers,appreciate,the suggestion,NaN,mean a lot to@R@,NaN,True
