,actual,prediction,evaluation
0,True,True,TP
1,True,True,TP
2,True,True,TP
3,True,False,FN
4,True,False,FN
5,True,False,FN
6,True,False,FN
7,True,False,FN
8,True,False,FN
9,True,False,FN
10,True,False,FN
11,True,False,FN
12,True,False,FN
13,True,False,FN
14,True,True,TP
15,True,False,FN
16,True,True,TP
17,True,False,FN
18,True,False,FN
19,True,False,FN
20,True,False,FN
21,True,False,FN
22,True,False,FN
23,True,True,TP
24,True,True,TP
25,True,False,FN
26,True,False,FN
27,True,False,FN
28,True,False,FN
29,True,False,FN
30,True,False,FN
31,True,False,FN
32,True,False,FN
33,True,True,TP
34,True,False,FN
35,True,True,TP
36,True,False,FN
37,True,False,FN
38,True,False,FN
39,True,False,FN
40,True,False,FN
41,True,False,FN
42,True,False,FN
43,True,False,FN
44,True,False,FN
45,True,False,FN
46,True,False,FN
47,True,False,FN
48,True,False,FN
49,True,False,FN
50,True,False,FN
51,True,False,FN
52,True,False,FN
53,True,True,TP
54,True,True,TP
55,True,False,FN
56,True,False,FN
57,True,False,FN
58,True,False,FN
59,True,False,FN
60,True,False,FN
61,True,False,FN
62,True,False,FN
63,True,False,FN
64,True,False,FN
65,True,False,FN
66,True,False,FN
67,True,False,FN
68,True,False,FN
69,True,False,FN
70,True,False,FN
71,True,False,FN
72,True,True,TP
73,True,False,FN
74,True,False,FN
75,True,False,FN
76,True,False,FN
77,True,False,FN
78,True,True,TP
79,True,False,FN
80,True,False,FN
81,True,False,FN
82,True,False,FN
83,True,True,TP
84,True,False,FN
85,True,False,FN
86,True,False,FN
87,True,False,FN
88,True,False,FN
89,True,True,TP
90,True,False,FN
91,True,False,FN
92,True,False,FN
93,True,False,FN
94,True,False,FN
95,True,False,FN
96,True,False,FN
97,True,False,FN
98,True,False,FN
99,True,False,FN
100,True,False,FN
101,True,False,FN
102,True,False,FN
103,True,False,FN
104,True,False,FN
105,True,False,FN
106,True,False,FN
107,True,True,TP
108,True,False,FN
109,True,False,FN
110,True,False,FN
111,True,False,FN
112,True,True,TP
113,True,False,FN
114,True,False,FN
115,True,False,FN
116,True,False,FN
117,True,False,FN
118,True,False,FN
119,True,True,TP
120,True,False,FN
121,True,False,FN
122,True,False,FN
123,True,False,FN
124,True,False,FN
125,True,False,FN
126,True,False,FN
127,True,True,TP
128,True,False,FN
129,True,False,FN
130,True,False,FN
131,True,False,FN
132,True,False,FN
133,True,False,FN
134,True,False,FN
135,True,False,FN
136,True,False,FN
137,True,False,FN
138,True,False,FN
139,True,False,FN
140,True,False,FN
141,True,True,TP
142,True,False,FN
143,True,True,TP
144,True,True,TP
145,True,False,FN
146,True,False,FN
147,True,False,FN
148,True,False,FN
149,True,False,FN
150,True,False,FN
151,True,False,FN
152,True,True,TP
153,True,True,TP
154,True,False,FN
155,True,False,FN
156,True,False,FN
157,True,False,FN
158,True,False,FN
159,True,False,FN
160,True,False,FN
161,True,True,TP
162,True,False,FN
163,True,False,FN
164,True,False,FN
165,True,False,FN
166,True,False,FN
167,True,True,TP
168,True,False,FN
169,True,True,TP
170,True,False,FN
171,True,False,FN
172,True,True,TP
173,True,False,FN
174,True,False,FN
175,True,False,FN
176,True,False,FN
177,True,False,FN
178,True,True,TP
179,True,False,FN
180,True,False,FN
181,True,True,TP
182,True,True,TP
183,True,False,FN
184,True,False,FN
185,True,False,FN
186,True,False,FN
187,True,True,TP
188,True,False,FN
189,True,False,FN
190,True,True,TP
191,True,False,FN
192,True,False,FN
193,True,False,FN
194,True,False,FN
195,True,False,FN
196,True,True,TP
197,True,False,FN
198,True,True,TP
199,True,False,FN
200,True,False,FN
201,True,False,FN
202,True,False,FN
203,True,False,FN
204,True,False,FN
205,True,False,FN
206,True,False,FN
207,True,False,FN
208,True,False,FN
209,True,False,FN
210,True,False,FN
211,True,False,FN
212,True,True,TP
213,True,True,TP
214,True,False,FN
215,True,False,FN
216,True,True,TP
217,True,False,FN
218,True,True,TP
219,True,False,FN
220,True,False,FN
221,True,True,TP
222,True,False,FN
223,True,True,TP
224,True,False,FN
225,True,False,FN
226,True,False,FN
227,True,False,FN
228,True,False,FN
229,True,False,FN
230,True,False,FN
231,True,False,FN
232,True,False,FN
233,True,False,FN
234,True,False,FN
235,True,False,FN
236,True,False,FN
237,True,False,FN
238,True,False,FN
239,True,True,TP
240,True,False,FN
241,True,False,FN
242,True,False,FN
243,True,False,FN
244,True,True,TP
245,True,False,FN
246,True,True,TP
247,True,False,FN
248,True,False,FN
249,True,False,FN
250,True,False,FN
251,True,False,FN
252,True,False,FN
253,True,False,FN
254,True,False,FN
255,True,False,FN
256,True,False,FN
257,True,False,FN
258,True,False,FN
259,True,False,FN
260,True,False,FN
261,True,False,FN
262,True,False,FN
263,True,False,FN
264,True,False,FN
265,True,True,TP
266,True,False,FN
267,True,False,FN
268,True,False,FN
269,True,False,FN
270,True,False,FN
271,True,False,FN
272,True,False,FN
273,True,False,FN
274,True,True,TP
275,True,False,FN
276,True,False,FN
277,True,False,FN
278,True,False,FN
279,True,False,FN
280,True,False,FN
281,True,False,FN
282,True,True,TP
283,True,False,FN
284,True,True,TP
285,True,False,FN
286,True,False,FN
287,True,False,FN
288,True,False,FN
289,True,False,FN
290,True,False,FN
291,True,False,FN
292,True,False,FN
293,True,False,FN
294,True,False,FN
295,True,True,TP
296,True,False,FN
297,True,True,TP
298,True,False,FN
299,True,False,FN
300,True,False,FN
301,True,True,TP
302,True,True,TP
303,True,False,FN
304,True,False,FN
305,True,False,FN
306,True,False,FN
307,True,False,FN
308,True,False,FN
309,True,True,TP
310,True,False,FN
311,True,False,FN
312,True,False,FN
313,True,False,FN
314,True,False,FN
315,True,False,FN
316,True,False,FN
317,True,False,FN
318,True,False,FN
319,True,True,TP
320,True,False,FN
321,True,False,FN
322,True,False,FN
323,True,False,FN
324,True,True,TP
325,True,False,FN
326,True,False,FN
327,True,True,TP
328,True,False,FN
329,True,True,TP
330,True,False,FN
331,True,False,FN
332,True,False,FN
333,True,False,FN
334,True,False,FN
335,True,False,FN
336,True,False,FN
337,True,False,FN
338,True,True,TP
339,True,True,TP
340,True,False,FN
341,True,False,FN
342,True,False,FN
343,True,False,FN
344,True,False,FN
345,True,False,FN
346,True,True,TP
347,True,False,FN
348,True,True,TP
349,True,False,FN
350,True,False,FN
351,True,True,TP
352,True,False,FN
353,True,False,FN
354,True,False,FN
355,True,False,FN
356,True,False,FN
357,True,False,FN
358,True,False,FN
359,True,False,FN
360,True,False,FN
361,True,False,FN
362,True,False,FN
363,True,False,FN
364,True,False,FN
365,True,False,FN
366,True,True,TP
367,True,False,FN
368,True,False,FN
369,True,False,FN
370,True,False,FN
371,True,False,FN
372,True,False,FN
373,True,False,FN
374,True,False,FN
375,True,True,TP
376,True,False,FN
377,True,True,TP
378,True,False,FN
379,True,False,FN
380,True,True,TP
381,True,False,FN
382,True,False,FN
383,True,False,FN
384,True,False,FN
385,True,False,FN
386,True,False,FN
387,True,True,TP
388,True,True,TP
389,True,False,FN
390,True,False,FN
391,True,False,FN
392,True,False,FN
393,True,False,FN
394,True,False,FN
395,True,False,FN
396,True,False,FN
397,True,False,FN
398,True,False,FN
399,True,False,FN
400,True,False,FN
401,True,False,FN
402,True,False,FN
403,True,False,FN
404,True,False,FN
405,True,False,FN
406,True,False,FN
407,True,False,FN
408,True,False,FN
409,True,True,TP
410,True,False,FN
411,True,False,FN
412,True,False,FN
413,True,True,TP
414,True,True,TP
415,True,False,FN
416,True,False,FN
417,True,False,FN
418,True,False,FN
419,True,False,FN
420,True,False,FN
421,True,False,FN
422,True,False,FN
423,True,False,FN
424,True,False,FN
425,True,False,FN
426,True,False,FN
427,True,False,FN
428,True,True,TP
429,True,False,FN
430,True,False,FN
431,True,False,FN
432,True,False,FN
433,True,False,FN
434,True,True,TP
435,True,True,TP
436,True,False,FN
437,True,False,FN
438,True,False,FN
439,True,True,TP
440,True,False,FN
441,True,False,FN
442,True,False,FN
443,True,False,FN
444,True,False,FN
445,True,False,FN
446,True,False,FN
447,True,True,TP
448,True,False,FN
449,True,True,TP
450,True,False,FN
451,True,False,FN
452,True,False,FN
453,True,False,FN
454,True,False,FN
455,True,False,FN
456,True,False,FN
457,True,True,TP
458,True,False,FN
459,True,False,FN
460,True,True,TP
461,True,False,FN
462,True,False,FN
463,True,False,FN
464,True,True,TP
465,True,False,FN
466,True,False,FN
467,True,True,TP
468,True,True,TP
469,True,False,FN
470,True,False,FN
471,True,False,FN
472,True,False,FN
473,True,False,FN
474,True,False,FN
475,True,False,FN
476,True,True,TP
477,True,False,FN
478,True,False,FN
479,True,False,FN
480,True,False,FN
481,True,False,FN
482,True,False,FN
483,True,False,FN
484,True,True,TP
485,True,False,FN
486,True,True,TP
487,True,False,FN
488,True,False,FN
489,True,False,FN
490,True,False,FN
491,True,False,FN
492,True,True,TP
493,True,True,TP
494,True,False,FN
495,True,False,FN
496,True,False,FN
497,True,False,FN
498,True,False,FN
499,True,True,TP
500,True,False,FN
501,True,True,TP
502,True,False,FN
503,True,False,FN
504,True,False,FN
505,True,True,TP
506,True,False,FN
507,True,True,TP
508,True,True,TP
509,True,False,FN
510,True,False,FN
511,True,True,TP
512,True,False,FN
513,True,True,TP
514,True,False,FN
515,True,False,FN
516,True,False,FN
517,True,False,FN
518,True,False,FN
519,True,False,FN
520,True,True,TP
521,True,True,TP
522,True,True,TP
523,True,False,FN
524,True,True,TP
525,True,False,FN
526,True,False,FN
527,True,False,FN
528,True,False,FN
529,True,False,FN
530,True,True,TP
531,True,False,FN
532,True,False,FN
533,True,False,FN
534,True,False,FN
535,True,False,FN
536,True,False,FN
537,True,False,FN
538,True,False,FN
539,True,False,FN
540,True,False,FN
541,True,False,FN
542,True,False,FN
543,True,True,TP
544,True,False,FN
545,True,False,FN
546,True,False,FN
547,True,False,FN
548,True,False,FN
549,True,False,FN
550,True,False,FN
551,True,True,TP
552,True,False,FN
553,True,False,FN
554,True,False,FN
555,True,False,FN
556,True,False,FN
557,True,True,TP
558,True,False,FN
559,True,False,FN
560,True,False,FN
561,True,False,FN
562,True,False,FN
563,True,False,FN
564,True,False,FN
565,True,False,FN
566,True,False,FN
567,True,False,FN
568,True,False,FN
569,True,False,FN
570,True,False,FN
571,True,False,FN
572,True,False,FN
573,True,False,FN
574,True,False,FN
575,True,False,FN
576,True,False,FN
577,True,False,FN
578,True,False,FN
579,True,False,FN
580,True,False,FN
581,True,False,FN
582,True,True,TP
583,True,False,FN
584,True,False,FN
585,True,True,TP
586,True,False,FN
587,True,False,FN
588,True,False,FN
589,True,False,FN
590,True,False,FN
591,True,False,FN
592,True,False,FN
593,True,False,FN
594,True,True,TP
595,True,False,FN
596,True,True,TP
597,True,True,TP
598,True,False,FN
599,True,False,FN
600,True,False,FN
601,True,False,FN
602,True,False,FN
603,True,False,FN
604,True,False,FN
