,text,hypothesis,entailment,tx,tpred,ty,hx,hpred,hy
40,Students be new to the school,the school be new to Students,True,Students,be new to,the school,NaN,be new to@R@,NaN
78,Autistic children be puzzled by faces,faces perplex Autistic children,True,Autistic children,be puzzled by,faces,NaN,perplex@R@,NaN
101,COMMENT contain embedded spaces,spaces be embedded within COMMENT,True,COMMENT,contain embedded,spaces,NaN,be embedded within@R@,NaN
122,The EPA regulate tap water,tap water be regulated under The EPA,True,The EPA,regulate,tap water,NaN,be regulated under@R@,NaN
174,your account be sold to a third party,a third party take over your account,True,your account,be sold to,a third party,NaN,take over@R@,NaN
195,The House vote on the report,the report be introduced in The House,True,The House,vote on,the report,NaN,be introduced in@R@,NaN
245,The Supreme Court permit the defendant,the defendant be allowed in The Supreme Court,True,The Supreme Court,permit,the defendant,NaN,be allowed in@R@,NaN
362,David worship Allah,Allah be worshipped by David,True,David,worship,Allah,NaN,be worshipped by@R@,NaN
392,our education be all affected by the quality and availability of transportation,the quality and availability of transportation continue to affect our education,True,our education,be all affected by,the quality and availability of transportation,NaN,continue to affect@R@,NaN
498,Cheney order the leak,the leak be ordered by Cheney,True,Cheney,order,the leak,NaN,be ordered by@R@,NaN
628,Gothic 3 be comparable to Oblivion,Oblivion be comparable to Gothic 3,True,Gothic 3,be comparable to,Oblivion,NaN,be comparable to@R@,NaN
711,Cum shoot all over his chest,his chest be slick with Cum,True,Cum,shoot all over,his chest,NaN,be slick with@R@,NaN
722,The artist be the creator of beautiful things,beautiful things be the creation of The artist,True,The artist,be the creator of,beautiful things,NaN,be the creation of@R@,NaN
774,harmful greenhouse gas emissions blame for global warming,global warming be linked to harmful greenhouse gas emissions,True,harmful greenhouse gas emissions,blame for,global warming,NaN,be linked to@R@,NaN
785,her hair cover her face,her face be covered by her hair,True,her hair,cover,her face,NaN,be covered by@R@,NaN
798,A 2.0 be equivalent to a C average,a C average be equivalent to A 2.0,True,A 2.0,be equivalent to,a C average,NaN,be equivalent to@R@,NaN
815,The republic be hijacked by Forces,Forces try to take over The republic,True,The republic,be hijacked by,Forces,NaN,try to take over@R@,NaN
822,your life be safe with God,God be dedicated to protect your life,True,your life,be safe with,God,NaN,be dedicated to protect@R@,NaN
825,Many people be attracted to Florida,Florida attract Many people,True,Many people,be attracted to,Florida,NaN,attract@R@,NaN
844,Torture be the polar opposite of freedom,freedom be the opposite of Torture,True,Torture,be the polar opposite of,freedom,NaN,be the opposite of@R@,NaN
863,the Trial Court dismiss his cause of action,his cause of action be brought before the Trial Court,True,the Trial Court,dismiss,his cause of action,NaN,be brought before@R@,NaN
877,San Angelo be home to Angelo State University,Angelo State University make their home in San Angelo,True,San Angelo,be home to,Angelo State University,NaN,make their home in@R@,NaN
953,NEC govern equipment,equipment be regulated by NEC,True,NEC,govern,equipment,NaN,be regulated by@R@,NaN
1000,Microsoft own the desktop,the desktop be owned by Microsoft,True,Microsoft,own,the desktop,NaN,be owned by@R@,NaN
1008,These clips be all included in the video,the video inclusive of These clips,True,These clips,be all included in,the video,NaN,inclusive of@R@,NaN
1057,Georgia take control of the SEC East,the SEC East be taken over by Georgia,True,Georgia,take control of,the SEC East,NaN,be taken over by@R@,NaN
1060,fee charge to a borrower,a borrower incur fee,True,fee,charge to,a borrower,NaN,incur@R@,NaN
1079,Christians be persecuted in this country,this country persecute Christians,True,Christians,be persecuted in,this country,NaN,persecute@R@,NaN
1084,San Angelo be home to Angelo State University,Angelo State University locate in San Angelo,True,San Angelo,be home to,Angelo State University,NaN,locate in@R@,NaN
1098,donations qualify for tax deductions,tax deductions be available to donations,True,donations,qualify for,tax deductions,NaN,be available to@R@,NaN
1134,Congress pass the Illegal Immigration Reform and Immigrant Responsibility Act,the Illegal Immigration Reform and Immigrant Responsibility Act be passed by Congress,True,Congress,pass,the Illegal Immigration Reform and Immigrant Responsibility Act,NaN,be passed by@R@,NaN
1146,The book contain checklists,checklists be present in The book,True,The book,contain,checklists,NaN,be present in@R@,NaN
1206,Obama sign a stimulus package,a stimulus package be signed by Obama,True,Obama,sign,a stimulus package,NaN,be signed by@R@,NaN
1316,a certificate be awarded to the winner,the winner be awarded with a certificate,True,a certificate,be awarded to,the winner,NaN,be awarded with@R@,NaN
1332,Our business depend on your satisfaction,your satisfaction be best for Our business,True,Our business,depend on,your satisfaction,NaN,be best for@R@,NaN
1337,student be new to computers,computers be new to student,True,student,be new to,computers,NaN,be new to@R@,NaN
1399,the islands be the cause of many shipwrecks,many shipwrecks be due to the islands,True,the islands,be the cause of,many shipwrecks,NaN,be due to@R@,NaN
1416,the parties abandon the transaction,the transaction be abandoned by the parties,True,the parties,abandon,the transaction,NaN,be abandoned by@R@,NaN
1419,Readers appreciate Holly,Holly mean a lot to Readers,True,Readers,appreciate,Holly,NaN,mean a lot to@R@,NaN
1451,Customers appreciate the suggestion,the suggestion mean a lot to Customers,True,Customers,appreciate,the suggestion,NaN,mean a lot to@R@,NaN
1480,The lounge be open for lunch and dinner,lunch and dinner be served at The lounge,True,The lounge,be open for,lunch and dinner,NaN,be served at@R@,NaN
1541,the algae provide food for the coral,the coral eat the algae,True,the algae,provide food for,the coral,NaN,eat@R@,NaN
1584,genetic counseling be advised for couples,couples be advised to take genetic counseling,True,genetic counseling,be advised for,couples,NaN,be advised to take@R@,NaN
1658,Students answer questions,questions be answered by Students,True,Students,answer,questions,NaN,be answered by@R@,NaN
1707,The kennel be connected to the house,the house connect to The kennel,True,The kennel,be connected to,the house,NaN,connect to@R@,NaN
1722,islet cells produce insulin,insulin be produced by islet cells,True,islet cells,produce,insulin,NaN,be produced by@R@,NaN
1724,the articles present within this page,this page contain all of the articles,True,the articles,present within,this page,NaN,contain all of@R@,NaN
