,rule_lhs,rule_rhs,lhs,rhs,judgment,confidence
40,be new to,be new to@R@,Students be new to the school,the school be new to Students,Yes,1.0
78,be puzzled by,perplex@R@,Autistic children be puzzled by faces,faces perplex Autistic children,Yes,1.0
101,contain embedded,be embedded within@R@,COMMENT contain embedded spaces,spaces be embedded within COMMENT,Yes,1.0
122,regulate,be regulated under@R@,The EPA regulate tap water,tap water be regulated under The EPA,Yes,1.0
174,be sold to,take over@R@,your account be sold to a third party,a third party take over your account,Yes,1.0
195,vote on,be introduced in@R@,The House vote on the report,the report be introduced in The House,Yes,1.0
245,permit,be allowed in@R@,The Supreme Court permit the defendant,the defendant be allowed in The Supreme Court,Yes,1.0
362,worship,be worshipped by@R@,David worship Allah,Allah be worshipped by David,Yes,1.0
392,be all affected by,continue to affect@R@,our education be all affected by the quality and availability of transportation,the quality and availability of transportation continue to affect our education,Yes,1.0
498,order,be ordered by@R@,Cheney order the leak,the leak be ordered by Cheney,Yes,1.0
628,be comparable to,be comparable to@R@,Gothic 3 be comparable to Oblivion,Oblivion be comparable to Gothic 3,Yes,1.0
711,shoot all over,be slick with@R@,Cum shoot all over his chest,his chest be slick with Cum,Yes,1.0
722,be the creator of,be the creation of@R@,The artist be the creator of beautiful things,beautiful things be the creation of The artist,Yes,1.0
774,blame for,be linked to@R@,harmful greenhouse gas emissions blame for global warming,global warming be linked to harmful greenhouse gas emissions,Yes,1.0
785,cover,be covered by@R@,her hair cover her face,her face be covered by her hair,Yes,1.0
798,be equivalent to,be equivalent to@R@,A 2.0 be equivalent to a C average,a C average be equivalent to A 2.0,Yes,1.0
815,be hijacked by,try to take over@R@,The republic be hijacked by Forces,Forces try to take over The republic,Yes,1.0
822,be safe with,be dedicated to protect@R@,your life be safe with God,God be dedicated to protect your life,Yes,1.0
825,be attracted to,attract@R@,Many people be attracted to Florida,Florida attract Many people,Yes,1.0
844,be the polar opposite of,be the opposite of@R@,Torture be the polar opposite of freedom,freedom be the opposite of Torture,Yes,1.0
863,dismiss,be brought before@R@,the Trial Court dismiss his cause of action,his cause of action be brought before the Trial Court,Yes,1.0
877,be home to,make their home in@R@,San Angelo be home to Angelo State University,Angelo State University make their home in San Angelo,Yes,1.0
953,govern,be regulated by@R@,NEC govern equipment,equipment be regulated by NEC,Yes,1.0
1000,own,be owned by@R@,Microsoft own the desktop,the desktop be owned by Microsoft,Yes,1.0
1008,be all included in,inclusive of@R@,These clips be all included in the video,the video inclusive of These clips,Yes,1.0
1057,take control of,be taken over by@R@,Georgia take control of the SEC East,the SEC East be taken over by Georgia,Yes,1.0
1060,charge to,incur@R@,fee charge to a borrower,a borrower incur fee,Yes,1.0
1079,be persecuted in,persecute@R@,Christians be persecuted in this country,this country persecute Christians,Yes,1.0
1084,be home to,locate in@R@,San Angelo be home to Angelo State University,Angelo State University locate in San Angelo,Yes,1.0
1098,qualify for,be available to@R@,donations qualify for tax deductions,tax deductions be available to donations,Yes,1.0
1134,pass,be passed by@R@,Congress pass the Illegal Immigration Reform and Immigrant Responsibility Act,the Illegal Immigration Reform and Immigrant Responsibility Act be passed by Congress,Yes,1.0
1146,contain,be present in@R@,The book contain checklists,checklists be present in The book,Yes,1.0
1206,sign,be signed by@R@,Obama sign a stimulus package,a stimulus package be signed by Obama,Yes,1.0
1316,be awarded to,be awarded with@R@,a certificate be awarded to the winner,the winner be awarded with a certificate,Yes,1.0
1332,depend on,be best for@R@,Our business depend on your satisfaction,your satisfaction be best for Our business,Yes,1.0
1337,be new to,be new to@R@,student be new to computers,computers be new to student,Yes,1.0
1399,be the cause of,be due to@R@,the islands be the cause of many shipwrecks,many shipwrecks be due to the islands,Yes,1.0
1416,abandon,be abandoned by@R@,the parties abandon the transaction,the transaction be abandoned by the parties,Yes,1.0
1419,appreciate,mean a lot to@R@,Readers appreciate Holly,Holly mean a lot to Readers,Yes,1.0
1451,appreciate,mean a lot to@R@,Customers appreciate the suggestion,the suggestion mean a lot to Customers,Yes,1.0
1480,be open for,be served at@R@,The lounge be open for lunch and dinner,lunch and dinner be served at The lounge,Yes,1.0
1541,provide food for,eat@R@,the algae provide food for the coral,the coral eat the algae,Yes,1.0
1584,be advised for,be advised to take@R@,genetic counseling be advised for couples,couples be advised to take genetic counseling,Yes,1.0
1658,answer,be answered by@R@,Students answer questions,questions be answered by Students,Yes,1.0
1707,be connected to,connect to@R@,The kennel be connected to the house,the house connect to The kennel,Yes,1.0
1722,produce,be produced by@R@,islet cells produce insulin,insulin be produced by islet cells,Yes,1.0
1724,present within,contain all of@R@,the articles present within this page,this page contain all of the articles,Yes,1.0
1728,be impacted by,affect all of@R@,the Greater Yellowstone Area be impacted by brucellosis,brucellosis affect all of the Greater Yellowstone Area,Yes,1.0
