,rule_lhs,rule_rhs,lhs,rhs,judgment,confidence
0,be open from,open at,The museum be open from March,The museum open at March,Yes,1.0
1,solve,solve all of,PERCOCET solve all your problems,PERCOCET solve all of all your problems,Yes,1.0
2,identify,reveal,your computer identify your browser,your computer reveal your browser,Yes,1.0
3,have a great influence on,have a powerful influence on,Parents have a great influence on the career development of their children,Parents have a powerful influence on the career development of their children,Yes,1.0
4,be encouraged to submit,be encouraged to send in,Fans be encouraged to submit photos of themselves,Fans be encouraged to send in photos of themselves,Yes,1.0
5,be unable to pay,owe,a debtor be unable to pay his creditors,a debtor owe his creditors,Yes,1.0
6,figure out,solve,No one figure out the cause,No one solve the cause,Yes,1.0
7,be happy to help,assist,The owner be happy to help drivers,The owner assist drivers,Yes,1.0
8,be given,obtain,Hamas be given a choice,Hamas obtain a choice,Yes,1.0
9,employ more than,provide employment for,Our company employ more than 400 workers,Our company provide employment for 400 workers,Yes,1.0
10,be sure of,be sure about,the doctors be sure of the cause,the doctors be sure about the cause,Yes,1.0
11,have a large number of,have a lot of,This department have a large number of students,This department have a lot of students,Yes,1.0
12,replenish,rebuild,Orange juice replenish Vitamin C and potassium,Orange juice rebuild Vitamin C and potassium,Yes,1.0
13,notice some of,see some of,The crew notice some of the damage,The crew see some of the damage,Yes,1.0
14,be divided into,be broken down into,The thesis be divided into three parts,The thesis be broken down into three parts,Yes,1.0
15,make the most of,take advantage of,students make the most of their university experience,students take advantage of their university experience,Yes,1.0
16,alleviate,help ease,These exercises alleviate pain,These exercises help ease pain,Yes,1.0
17,be used for,be intended to be used for,detox diet be used for weight loss,detox diet be intended to be used for weight loss,Yes,1.0
18,be provided,be supplied,This software be provided as-is,This software be supplied as-is,Yes,1.0
19,sit on,go on,the base sit on the ground,the base go on the ground,Yes,1.0
20,be called,be dubbed,God be called Yahweh,God be dubbed Yahweh,Yes,1.0
21,depend on,be focused on,Our business depend on your satisfaction,Our business be focused on your satisfaction,Yes,1.0
22,stop off at,try to go to,Better stop off at the library,Better try to go to the library,Yes,1.0
23,agree with,tend to agree with,not one agree with him,not one tend to agree with him,Yes,1.0
24,hurt,harm,Neutering hurt my pet,Neutering harm my pet,Yes,1.0
25,remain,remain about,width remain the same,width remain about the same,Yes,1.0
26,be all about,be about,this post be all about the differences,this post be about the differences,Yes,1.0
27,guarantee,provide,The section guarantee equality,The section provide equality,Yes,1.0
28,win,end up win,their cards win the pot,their cards end up win the pot,Yes,1.0
29,need to protect,need to defend,the publics need to protect itself,the publics need to defend itself,Yes,1.0
30,serve as,assume the position of,Eric serve as an instructor,Eric assume the position of an instructor,Yes,1.0
31,view,check,Some insurance companies view biofeedback,Some insurance companies check biofeedback,Yes,1.0
32,recommend take,recommend have,Doctors recommend take Frova,Doctors recommend have Frova,Yes,1.0
